Exit-location,Aircraft-type,Final-approach,Exit-angle,Temperature,Time,Windspeed,Visibility,ROT
2086.35,Medium,142,30,31,Day,-8,10,51
1750,Light,85,30,31,Day,-8,10,56
2086.35,Medium,150,30,31,Day,-8,10,50
2086.35,Medium,136,30,31,Day,-8,10,55
1750,Light,78,30,32,Day,-6,10,53
2086.35,Medium,139,30,32,Day,-6,10,56
2086.35,Medium,140,30,32,Day,-6,10,55
1750,Medium,141,30,32,Day,-6,10,51
2086.35,Medium,138,30,32,Day,-6,10,54
2086.35,Medium,136,30,32,Day,-6,10,52
1750,Medium,135,30,32,Day,-6,10,49
1750,Medium,121,30,32,Day,-6,10,58
2086.35,Heavy,145,30,25,Day,0,7,61
2086.35,Medium,139,30,26,Day,0,7,64
2086.35,Medium,153,30,26,Day,0,7,53
2086.35,Medium,146,30,26,Day,0,7,49
2086.35,Medium,134,30,27,Day,0,10,58
1750,Medium,130,30,27,Day,0,10,50
2086.35,Medium,150,30,27,Day,-2,10,57
2086.35,Medium,145,30,27,Day,-2,10,58
1750,Light,113,30,27,Day,-2,10,55
1750,Medium,140,30,27,Day,-2,10,46
2086.35,Medium,144,30,27,Day,-2,10,55
1750,Medium,145,30,27,Day,-2,10,44
1750,Medium,136,30,28,Day,0,6,51
2086.35,Medium,143,30,28,Day,0,6,53
1750,Medium,147,30,28,Day,0,6,47
1750,Light,79,30,28,Day,0,6,50
2086.35,Medium,133,30,28,Day,0,6,68
2086.35,Medium,143,30,28,Day,-6,8,63
1750,Medium,142,30,28,Day,-6,8,47
2086.35,Heavy,136,30,28,Day,-6,8,59
1750,Medium,145,30,28,Day,-6,8,43
2086.35,Medium,140,30,28,Day,-6,8,54
1750,Light,134,30,28,Day,-6,8,50
1750,Medium,131,30,28,Day,-6,8,49
1750,Medium,125,30,28,Day,-5,10,52
1750,Medium,144,30,28,Day,-5,10,45
1750,Medium,139,30,28,Day,-5,10,43
1750,Medium,147,30,28,Day,-5,10,42
1750,Medium,144,30,28,Day,-5,10,42
2086.35,Heavy,144,30,28,Day,-5,10,64
2086.35,Medium,132,30,28,Day,-5,10,50
2086.35,Heavy,140,30,28,Day,-5,10,47
2086.35,Medium,136,30,29,Day,-4,10,52
2086.35,Medium,134,30,29,Day,-4,10,50
1750,Medium,124,30,29,Day,-4,10,51
1750,Medium,143,30,29,Day,-4,10,43
2086.35,Medium,146,30,29,Day,-4,10,45
1750,Medium,149,30,29,Day,-4,10,53
1750,Light,137,30,29,Day,0,10,55
2086.35,Medium,139,30,29,Day,0,10,59
1750,Medium,145,30,29,Day,0,10,43
2086.35,Heavy,157,30,29,Day,0,10,46
1750,Medium,146,30,29,Day,0,10,42
2086.35,Heavy,139,30,29,Day,0,10,51
1750,Heavy,146,30,29,Day,0,10,44
1750,Medium,143,30,29,Day,0,10,43
1750,Medium,142,30,29,Day,0,10,46
2086.35,Medium,144,30,29,Day,0,10,45
2086.35,Heavy,143,30,30,Day,-2,9,48
2086.35,Medium,150,30,30,Day,-2,9,47
2086.35,Medium,134,30,30,Day,-2,9,52
2086.35,Medium,137,30,30,Day,-2,9,51
1750,Light,93,30,30,Day,-2,9,54
1750,Medium,134,30,30,Day,-2,9,45
2086.35,Medium,139,30,30,Day,-2,9,49
2086.35,Medium,148,30,30,Day,-2,9,53
2086.35,Heavy,141,30,30,Day,-2,9,47
2086.35,Medium,156,30,31,Day,-5,10,50
1750,Medium,147,30,31,Day,-5,10,44
2086.35,Heavy,140,30,31,Day,-5,10,56
1750,Light,75,30,31,Day,-5,10,58
1750,Light,70,30,31,Day,-5,10,59
1750,Medium,143,30,31,Day,-5,10,55
2086.35,Heavy,139,30,31,Day,-7,9,57
1750,Medium,139,30,31,Day,-7,9,43
2086.35,Medium,144,30,31,Day,-7,9,55
2086.35,Medium,140,30,31,Day,-7,9,50
2086.35,Medium,142,30,31,Day,-7,9,56
2086.35,Medium,139,30,31,Day,-7,9,51
2086.35,Heavy,142,30,24,Day,5,8,61
2086.35,Medium,137,30,24,Day,5,8,55
2086.35,Medium,143,30,24,Day,5,8,59
2086.35,Medium,137,30,24,Day,5,8,55
2086.35,Medium,136,30,24,Day,5,8,58
2086.35,Heavy,148,30,25,Day,2,8,57
2086.35,Heavy,150,30,25,Day,2,8,60
2086.35,Medium,138,30,25,Day,2,8,50
2086.35,Heavy,153,30,25,Day,2,8,63
2086.35,Heavy,150,30,25,Day,2,8,62
2086.35,Medium,144,30,25,Day,2,9,53
2086.35,Heavy,148,30,25,Day,2,9,54
1750,Medium,138,30,25,Day,2,9,61
2086.35,Medium,140,30,25,Day,2,9,57
2086.35,Heavy,154,30,25,Day,2,9,58
2086.35,Medium,139,30,25,Day,2,8,55
2086.35,Medium,146,30,25,Day,2,8,59
2086.35,Medium,138,30,25,Day,2,8,55
2086.35,Medium,137,30,25,Day,2,8,58
2086.35,Medium,137,30,25,Day,2,8,61
2086.35,Heavy,143,30,24,Day,-2,7,59
2086.35,Heavy,141,30,24,Day,-2,7,59
2086.35,Light,105,30,24,Day,-2,7,54
1750,Medium,135,30,24,Day,-2,7,56
2086.35,Heavy,150,30,24,Day,-2,7,53
2086.35,Medium,136,30,24,Day,4,8,58
2086.35,Heavy,146,30,24,Day,4,8,61
2086.35,Medium,143,30,24,Day,4,8,61
2086.35,Medium,132,30,24,Day,4,8,60
2086.35,Medium,141,30,24,Day,4,8,58
2086.35,Medium,144,30,24,Day,7,7,60
2086.35,Light,96,30,24,Day,7,7,58
2086.35,Light,79,30,24,Day,7,7,62
2086.35,Medium,143,30,24,Day,7,7,62
2086.35,Medium,133,30,24,Day,7,7,53
2086.35,Heavy,148,30,24,Day,-2,8,63
2086.35,Medium,139,30,24,Day,-2,8,51
1750,Medium,143,30,24,Day,-2,8,59
2086.35,Medium,139,30,24,Day,-2,8,65
1750,Medium,141,30,24,Day,-2,8,54
1750,Medium,137,30,24,Day,-1,8,54
2086.35,Medium,141,30,24,Day,-1,8,56
1750,Medium,137,30,24,Day,-1,8,57
2086.35,Medium,137,30,24,Day,-1,8,62
1750,Light,109,30,24,Day,-1,8,51
2086.35,Medium,134,30,25,Day,1,8,60
1750,Light,102,30,25,Day,1,8,54
2086.35,Medium,140,30,25,Day,1,8,60
2086.35,Medium,141,30,25,Day,1,8,61
2086.35,Heavy,153,30,25,Day,1,8,62
2086.35,Heavy,143,30,24,Day,2,10,57
1750,Medium,144,30,24,Day,2,10,59
2086.35,Heavy,146,30,24,Day,2,10,53
2086.35,Medium,143,30,24,Day,2,10,52
1750,Light,87,30,24,Day,2,10,60
1750,Medium,135,30,24,Day,-2,9,52
1750,Light,90,30,24,Day,-2,9,55
2086.35,Medium,146,30,24,Day,-2,9,55
2086.35,Heavy,158,30,24,Day,-2,9,57
1750,Medium,140,30,24,Day,-2,9,54
2086.35,Heavy,145,30,25,Day,-2,7,58
2086.35,Medium,138,30,25,Day,-2,7,59
2086.35,Medium,131,30,25,Day,-2,7,60
1750,Medium,139,30,25,Day,-2,7,51
2086.35,Heavy,143,30,25,Day,-2,7,65
2086.35,Medium,144,30,25,Day,2,9,54
2086.35,Light,88,30,25,Day,2,9,55
2086.35,Medium,139,30,25,Day,2,9,60
2086.35,Medium,139,30,25,Day,2,9,55
2086.35,Medium,142,30,25,Day,2,9,57
1750,Medium,143,30,25,Day,-3,8,55
1750,Medium,138,30,25,Day,-3,8,52
2086.35,Medium,136,30,25,Day,-3,8,54
1750,Medium,141,30,25,Day,-3,8,55
1750,Light,93,30,25,Day,-3,8,59
2086.35,Heavy,148,30,25,Day,4,8,57
2086.35,Medium,141,30,25,Day,4,8,55
2086.35,Heavy,148,30,25,Day,4,8,58
2086.35,Heavy,149,30,25,Day,4,8,56
2086.35,Medium,141,30,25,Day,4,8,58
2086.35,Medium,143,30,25,Day,2,7,60
2086.35,Heavy,154,30,25,Day,2,7,59
2086.35,Medium,136,30,25,Day,2,7,59
2086.35,Medium,138,30,25,Day,2,7,55
2086.35,Heavy,142,30,25,Day,2,7,54
2086.35,Heavy,143,30,25,Day,2,8,60
2086.35,Light,87,30,25,Day,2,8,60
2086.35,Heavy,144,30,25,Day,2,8,60
2086.35,Medium,140,30,25,Day,2,8,59
2086.35,Medium,138,30,25,Day,2,8,63
2086.35,Medium,146,30,26,Day,-2,9,57
2086.35,Medium,143,30,26,Day,-2,9,52
1750,Medium,139,30,26,Day,-2,9,58
1750,Light,105,30,26,Day,-2,9,57
2086.35,Heavy,150,30,26,Day,-2,9,62
2086.35,Medium,142,30,25,Day,3,9,53
2086.35,Light,104,30,25,Day,3,9,57
2086.35,Medium,136,30,25,Day,3,9,59
2086.35,Medium,140,30,25,Day,3,9,60
2086.35,Heavy,148,30,25,Day,3,9,56
1750,Medium,139,30,25,Day,-4,8,56
2086.35,Heavy,144,30,25,Day,-4,8,57
1750,Light,79,30,25,Day,-4,8,58
1750,Light,109,30,25,Day,-4,8,57
2086.35,Medium,140,30,25,Day,-4,8,58
2086.35,Medium,148,30,25,Day,4,9,60
2086.35,Medium,145,30,25,Day,4,9,58
2086.35,Heavy,142,30,25,Day,4,9,54
2086.35,Medium,137,30,25,Day,4,9,60
2086.35,Heavy,143,30,25,Day,4,9,61
2086.35,Medium,140,30,26,Day,0,9,54
2086.35,Medium,141,30,26,Day,0,9,61
1750,Medium,138,30,26,Day,0,9,53
2086.35,Heavy,145,30,26,Day,0,9,62
2086.35,Heavy,145,30,26,Day,0,9,55
2086.35,Medium,138,30,25,Day,4,9,57
2086.35,Medium,145,30,25,Day,4,9,58
2086.35,Medium,141,30,25,Day,4,9,62
2086.35,Heavy,147,30,25,Day,4,9,54
2086.35,Heavy,145,30,25,Day,4,9,60
1750,Light,97,30,26,Day,-9,9,57
1750,Medium,144,30,26,Day,-9,9,54
2086.35,Heavy,152,30,26,Day,-9,9,63
2086.35,Heavy,150,30,26,Day,-9,9,58
1750,Medium,144,30,26,Day,-9,9,59
2086.35,Heavy,152,30,26,Day,-2,8,63
1750,Medium,139,30,26,Day,-2,8,59
2086.35,Heavy,149,30,26,Day,-2,8,57
2086.35,Medium,144,30,26,Day,-2,8,57
2086.35,Medium,143,30,26,Day,-2,8,64
2086.35,Medium,141,30,26,Day,-2,7,63
2086.35,Heavy,149,30,26,Day,-2,7,60
2086.35,Heavy,146,30,26,Day,-2,7,60
2086.35,Medium,137,30,26,Day,-2,7,58
1750,Medium,135,30,26,Day,-2,7,59
1750,Medium,140,30,26,Day,-3,9,60
1750,Medium,133,30,26,Day,-3,9,53
2086.35,Heavy,151,30,26,Day,-3,9,58
1750,Medium,136,30,26,Day,-3,9,58
2086.35,Light,104,30,26,Day,-3,9,53
2086.35,Heavy,145,30,25,Day,1,8,58
2086.35,Medium,139,30,25,Day,1,8,55
2086.35,Medium,140,30,25,Day,1,8,59
2086.35,Medium,142,30,25,Day,1,8,61
2086.35,Medium,141,30,25,Day,1,8,59
2086.35,Light,100,30,26,Day,-1,8,63
2086.35,Heavy,142,30,26,Day,-1,8,58
2086.35,Medium,143,30,26,Day,-1,8,55
2086.35,Heavy,146,30,26,Day,-1,8,49
2086.35,Medium,143,30,26,Day,-1,8,58
1750,Medium,140,30,26,Day,-5,9,54
1750,Medium,143,30,26,Day,-5,9,56
1750,Medium,133,30,26,Day,-5,9,53
2086.35,Medium,139,30,26,Day,-5,9,60
2086.35,Heavy,150,30,26,Day,-5,9,63
1750,Light,90,30,26,Day,-7,8,56
1750,Medium,141,30,26,Day,-7,8,60
1750,Medium,138,30,26,Day,-7,8,59
1750,Medium,138,30,26,Day,-7,8,57
2086.35,Heavy,146,30,26,Day,-7,8,59
1750,Medium,142,30,26,Day,-3,8,58
2086.35,Medium,146,30,26,Day,-3,8,58
2086.35,Heavy,150,30,26,Day,-3,8,55
1750,Medium,134,30,26,Day,-3,8,57
1750,Medium,145,30,26,Day,-3,8,52
2086.35,Medium,144,30,26,Day,-4,7,58
2086.35,Heavy,147,30,26,Day,-4,7,59
1750,Medium,142,30,26,Day,-4,7,62
1750,Medium,138,30,26,Day,-4,7,58
1750,Medium,138,30,26,Day,-4,7,58
2086.35,Heavy,150,30,26,Day,-3,7,58
2086.35,Heavy,136,30,26,Day,-3,7,61
1750,Light,101,30,26,Day,-3,7,51
2086.35,Light,109,30,26,Day,-3,7,57
2086.35,Heavy,147,30,26,Day,-3,7,60
1750,Medium,136,30,27,Day,-2,9,53
2086.35,Medium,139,30,27,Day,-2,9,60
1750,Medium,139,30,27,Day,-2,9,62
2086.35,Heavy,149,30,27,Day,-2,9,61
1750,Medium,139,30,27,Day,-2,9,55
2086.35,Heavy,151,30,27,Day,-9,8,60
1750,Medium,140,30,27,Day,-9,8,52
1750,Medium,141,30,27,Day,-9,8,51
1750,Medium,140,30,27,Day,-9,8,55
1750,Light,85,30,27,Day,-9,8,57
2086.35,Heavy,147,30,27,Day,4,8,60
2086.35,Medium,142,30,27,Day,4,8,62
2086.35,Medium,140,30,27,Day,4,8,63
2086.35,Medium,144,30,27,Day,4,8,57
2086.35,Heavy,143,30,27,Day,4,8,59
2086.35,Heavy,147,30,27,Day,-3,8,60
2086.35,Medium,141,30,27,Day,-3,8,59
2086.35,Heavy,152,30,27,Day,-3,8,61
2086.35,Medium,142,30,27,Day,-3,8,59
1750,Medium,140,30,27,Day,-3,8,56
1750,Medium,136,30,26,Day,-1,8,59
1750,Medium,137,30,26,Day,-1,8,52
2086.35,Heavy,154,30,26,Day,-1,8,60
2086.35,Heavy,157,30,26,Day,-1,8,60
2086.35,Medium,132,30,26,Day,-1,8,52
2086.35,Medium,143,30,27,Day,1,7,63
2086.35,Medium,142,30,27,Day,1,7,61
2086.35,Medium,140,30,27,Day,1,7,56
2086.35,Medium,134,30,27,Day,1,7,54
2086.35,Heavy,148,30,27,Day,1,7,63
2086.35,Medium,135,30,26,Day,4,8,60
2086.35,Medium,139,30,26,Day,4,8,56
2086.35,Medium,136,30,26,Day,4,8,58
2086.35,Medium,142,30,26,Day,4,8,60
2086.35,Medium,145,30,26,Day,4,8,57
2086.35,Medium,142,30,26,Day,-3,7,58
1750,Medium,138,30,26,Day,-3,7,60
2086.35,Light,103,30,26,Day,-3,7,57
2086.35,Medium,139,30,26,Day,-3,7,57
2086.35,Medium,137,30,26,Day,-3,7,55
2086.35,Heavy,150,30,27,Day,-3,7,60
2086.35,Heavy,147,30,27,Day,-3,7,59
2086.35,Medium,143,30,27,Day,-3,7,55
2086.35,Medium,140,30,27,Day,-3,7,58
2086.35,Heavy,155,30,27,Day,-3,7,57
1750,Medium,145,30,26,Day,-5,8,55
1750,Medium,137,30,26,Day,-5,8,53
2086.35,Heavy,144,30,26,Day,-5,8,58
1750,Light,94,30,26,Day,-5,8,57
2086.35,Medium,141,30,26,Day,-5,8,57
2086.35,Light,92,30,28,Day,-3,7,57
2086.35,Medium,142,30,28,Day,-3,7,59
1750,Medium,141,30,28,Day,-3,7,55
2086.35,Medium,138,30,28,Day,-3,7,63
1750,Medium,136,30,28,Day,-3,7,60
2086.35,Heavy,157,30,28,Day,-2,7,59
2086.35,Heavy,146,30,28,Day,-2,7,59
2086.35,Medium,142,30,28,Day,-2,7,55
2086.35,Heavy,140,30,28,Day,-2,7,59
2086.35,Heavy,139,30,28,Day,-2,7,62
2086.35,Medium,140,30,28,Day,-2,7,59
2086.35,Light,90,30,28,Day,-2,7,58
2086.35,Heavy,149,30,28,Day,-2,7,57
2086.35,Heavy,147,30,28,Day,-2,7,57
2086.35,Heavy,144,30,28,Day,-2,7,59
1750,Medium,144,30,27,Day,-6,8,57
1750,Medium,145,30,27,Day,-6,8,55
2086.35,Heavy,143,30,27,Day,-6,8,57
2086.35,Heavy,147,30,27,Day,-6,8,60
1750,Medium,140,30,27,Day,-6,8,55
2086.35,Medium,137,30,27,Day,-1,8,55
2086.35,Heavy,154,30,27,Day,-1,8,61
2086.35,Medium,145,30,27,Day,-1,8,56
1750,Medium,139,30,27,Day,-1,8,56
2086.35,Medium,140,30,27,Day,-1,8,62
1750,Medium,135,30,28,Day,-4,8,58
1750,Medium,139,30,28,Day,-4,8,51
2086.35,Heavy,151,30,28,Day,-4,8,54
2086.35,Heavy,145,30,28,Day,-4,8,58
2086.35,Heavy,148,30,28,Day,-4,8,59
1750,Medium,140,30,28,Day,-4,8,60
1750,Medium,140,30,28,Day,-4,8,54
2086.35,Medium,139,30,28,Day,-4,8,53
2086.35,Heavy,154,30,28,Day,-4,8,57
1750,Medium,144,30,28,Day,-4,8,62
2086.35,Medium,138,30,29,Day,-5,8,58
2086.35,Medium,141,30,29,Day,-5,8,64
1750,Light,101,30,29,Day,-5,8,57
2086.35,Heavy,156,30,29,Day,-5,8,59
1750,Medium,141,30,29,Day,-5,8,55
2086.35,Medium,138,30,28,Day,2,7,61
2086.35,Medium,142,30,28,Day,2,7,55
2086.35,Medium,145,30,28,Day,2,7,59
2086.35,Medium,142,30,28,Day,2,7,64
2086.35,Heavy,151,30,28,Day,2,7,59
2086.35,Heavy,154,30,28,Day,2,7,60
2086.35,Medium,144,30,28,Day,2,7,55
2086.35,Medium,133,30,28,Day,2,7,55
2086.35,Heavy,146,30,28,Day,2,7,60
2086.35,Heavy,151,30,28,Day,2,7,57
2086.35,Heavy,149,30,28,Day,5,8,60
2086.35,Medium,142,30,28,Day,5,8,62
2086.35,Medium,141,30,28,Day,5,8,59
2086.35,Medium,138,30,28,Day,5,8,63
2086.35,Heavy,149,30,28,Day,5,8,64
2086.35,Medium,149,30,28,Day,-3,7,54
2086.35,Medium,141,30,28,Day,-3,7,60
2086.35,Heavy,142,30,28,Day,-3,7,57
2086.35,Medium,138,30,28,Day,-3,7,64
2086.35,Heavy,143,30,28,Day,-3,7,61
2086.35,Medium,138,30,27,Day,1,8,57
2086.35,Heavy,150,30,27,Day,1,8,58
2086.35,Medium,137,30,27,Day,1,8,60
2086.35,Heavy,155,30,27,Day,1,8,57
2086.35,Medium,143,30,27,Day,1,8,51
2086.35,Medium,144,30,28,Day,0,8,65
2086.35,Medium,141,30,28,Day,0,8,64
2086.35,Heavy,153,30,28,Day,0,8,61
2086.35,Medium,143,30,28,Day,0,8,55
2086.35,Heavy,147,30,28,Day,0,8,57
2086.35,Light,84,30,29,Day,9,8,62
2086.35,Medium,136,30,29,Day,9,8,56
2086.35,Medium,140,30,29,Day,9,8,65
2086.35,Medium,137,30,29,Day,9,8,64
2086.35,Heavy,147,30,29,Day,9,8,56
2086.35,Medium,144,30,29,Day,-2,7,63
2086.35,Medium,136,30,29,Day,-2,7,54
1750,Medium,140,30,29,Day,-2,7,52
1750,Medium,138,30,29,Day,-2,7,48
2086.35,Medium,146,30,29,Day,-2,7,56
2086.35,Heavy,150,30,28,Day,3,8,56
2086.35,Medium,143,30,28,Day,3,8,58
2086.35,Heavy,144,30,28,Day,3,8,56
2086.35,Medium,141,30,28,Day,3,8,58
2086.35,Medium,139,30,28,Day,3,8,54
2086.35,Medium,143,30,29,Day,-1,8,57
2086.35,Heavy,150,30,29,Day,-1,8,53
1750,Medium,143,30,29,Day,-1,8,55
2086.35,Medium,142,30,29,Day,-1,8,54
1750,Medium,138,30,29,Day,-1,8,58
2086.35,Medium,137,30,27,Day,4,8,61
2086.35,Medium,141,30,27,Day,4,8,56
2086.35,Heavy,143,30,27,Day,4,8,50
2086.35,Heavy,151,30,27,Day,4,8,50
2086.35,Light,105,30,27,Day,4,8,65
2086.35,Medium,138,30,29,Day,2,7,62
2086.35,Heavy,144,30,29,Day,2,7,56
2086.35,Heavy,148,30,29,Day,2,7,64
2086.35,Light,104,30,29,Day,2,7,56
2086.35,Medium,143,30,29,Day,2,7,61
2086.35,Medium,141,30,29,Day,2,8,58
2086.35,Medium,140,30,29,Day,2,8,61
2086.35,Heavy,155,30,29,Day,2,8,61
2086.35,Heavy,153,30,29,Day,2,8,59
2086.35,Medium,142,30,29,Day,2,8,57
2086.35,Medium,139,30,29,Day,3,8,56
2086.35,Medium,147,30,29,Day,3,8,62
2086.35,Medium,140,30,29,Day,3,8,56
2086.35,Heavy,147,30,29,Day,3,8,63
2086.35,Medium,149,30,29,Day,3,8,62
2086.35,Medium,139,30,29,Day,6,9,58
2086.35,Medium,144,30,29,Day,6,9,63
1750,Medium,140,30,29,Day,6,9,56
2086.35,Medium,140,30,29,Day,6,9,58
2086.35,Heavy,150,30,29,Day,6,9,58
2086.35,Medium,139,30,28,Day,4,8,63
2086.35,Heavy,153,30,28,Day,4,8,64
2086.35,Light,78,30,28,Day,4,8,60
2086.35,Medium,137,30,28,Day,4,8,56
2086.35,Heavy,146,30,28,Day,4,8,60
2086.35,Medium,139,30,29,Day,9,9,59
2086.35,Heavy,142,30,29,Day,9,9,62
2086.35,Heavy,143,30,29,Day,9,9,58
2086.35,Medium,141,30,29,Day,9,9,62
2086.35,Heavy,152,30,29,Day,9,9,60
2086.35,Medium,142,30,29,Day,6,9,57
2086.35,Medium,144,30,29,Day,6,9,53
2086.35,Heavy,145,30,29,Day,6,9,59
2086.35,Heavy,148,30,29,Day,6,9,60
2086.35,Medium,142,30,29,Day,6,9,61
2086.35,Medium,137,30,29,Day,5,8,58
2086.35,Medium,141,30,29,Day,5,8,58
2086.35,Medium,140,30,29,Day,5,8,60
2086.35,Heavy,143,30,29,Day,5,8,57
2086.35,Heavy,155,30,29,Day,5,8,60
2086.35,Medium,140,30,28,Day,1,8,55
2086.35,Heavy,152,30,28,Day,1,8,60
1750,Medium,143,30,28,Day,1,8,57
2086.35,Medium,134,30,28,Day,1,8,62
2086.35,Medium,143,30,28,Day,1,8,63
1750,Medium,143,30,29,Day,-3,10,50
2086.35,Medium,137,30,29,Day,-3,10,58
1750,Medium,142,30,29,Day,-3,10,60
1750,Medium,141,30,29,Day,-3,10,51
1750,Medium,140,30,29,Day,-3,10,52
2086.35,Light,106,30,29,Day,2,8,54
2086.35,Medium,140,30,29,Day,2,8,57
2086.35,Medium,141,30,29,Day,2,8,53
2086.35,Medium,140,30,29,Day,2,8,58
2086.35,Medium,139,30,29,Day,2,8,62
1750,Medium,146,30,30,Day,0,9,52
2086.35,Heavy,140,30,30,Day,0,9,54
2086.35,Heavy,150,30,30,Day,0,9,54
2086.35,Medium,138,30,30,Day,0,9,64
1750,Medium,139,30,30,Day,0,9,48
1750,Medium,139,30,29,Day,1,9,55
1750,Light,84,30,29,Day,1,9,54
1750,Medium,142,30,29,Day,1,9,60
2086.35,Heavy,148,30,29,Day,1,9,60
2086.35,Medium,143,30,29,Day,1,9,56
2086.35,Medium,136,30,29,Day,1,9,58
2086.35,Heavy,147,30,29,Day,1,9,52
2086.35,Medium,140,30,29,Day,1,9,56
2086.35,Heavy,144,30,29,Day,1,9,61
2086.35,Medium,138,30,29,Day,1,9,55
1750,Medium,143,30,31,Day,-3,9,60
1750,Medium,141,30,31,Day,-3,9,56
1750,Medium,143,30,31,Day,-3,9,58
2086.35,Medium,143,30,31,Day,-3,9,55
1750,Medium,136,30,31,Day,-3,9,56
2086.35,Medium,144,30,30,Day,5,8,57
2086.35,Heavy,141,30,30,Day,5,8,58
2086.35,Heavy,154,30,30,Day,5,8,56
2086.35,Medium,140,30,30,Day,5,8,57
2086.35,Medium,138,30,30,Day,5,8,61
2086.35,Medium,139,30,29,Day,4,8,58
2086.35,Light,91,30,29,Day,4,8,64
2086.35,Medium,139,30,29,Day,4,8,59
2086.35,Heavy,149,30,29,Day,4,8,59
2086.35,Medium,135,30,29,Day,4,8,55
2086.35,Heavy,155,30,30,Day,2,8,65
1750,Medium,142,30,30,Day,2,8,54
2086.35,Medium,138,30,30,Day,2,8,55
2086.35,Light,96,30,30,Day,2,8,55
2086.35,Medium,147,30,30,Day,2,8,50
2086.35,Heavy,152,30,29,Day,8,8,64
2086.35,Medium,142,30,29,Day,8,8,62
2086.35,Medium,135,30,29,Day,8,8,62
2086.35,Medium,140,30,29,Day,8,8,59
2086.35,Medium,139,30,29,Day,8,8,59
2086.35,Heavy,147,30,30,Day,5,8,62
2086.35,Medium,134,30,30,Day,5,8,56
2086.35,Medium,138,30,30,Day,5,8,56
2086.35,Medium,144,30,30,Day,5,8,59
2086.35,Heavy,150,30,30,Day,5,8,61
2086.35,Heavy,148,30,31,Day,-2,9,57
2086.35,Medium,139,30,31,Day,-2,9,57
1750,Medium,142,30,31,Day,-2,9,55
2086.35,Medium,144,30,31,Day,-2,9,56
1750,Medium,137,30,31,Day,-2,9,55
2086.35,Medium,143,30,30,Day,0,9,60
2086.35,Medium,138,30,30,Day,0,9,61
2086.35,Medium,144,30,30,Day,0,9,60
1750,Medium,140,30,30,Day,0,9,54
